Ticker,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-20 13:30:00+00:00,681.4500122070312,683.3300170898438,672.77001953125,676.7100219726562,1548606,249.3800048828125,250.13999938964844,246.88499450683594,247.2449951171875,4674272,97.1449966430664,97.5999984741211,96.30000305175781,96.30999755859375,5824408,270.3299865722656,273.25,270.3299865722656,272.45001220703125,4313567,338.94000244140625,339.1600036621094,335.4599914550781,337.0299987792969,2141843
2026-04-20 13:45:00+00:00,676.5800170898438,678.280029296875,672.0499877929688,677.52001953125,888797,247.22999572753906,247.6699981689453,246.75,247.6699981689453,1833418,96.30999755859375,96.37000274658203,95.79000091552734,96.1050033569336,3198756,272.3999938964844,274.09991455078125,272.1499938964844,273.9219970703125,2409300,337.0299987792969,338.1600036621094,336.3699951171875,338.15899658203125,515810
2026-04-20 14:00:00+00:00,677.5900268554688,677.780029296875,675.3782958984375,676.7999877929688,441628,247.6699981689453,248.1300048828125,246.82000732421875,247.88009643554688,1807106,96.1050033569336,96.2300033569336,95.80000305175781,96.00499725341797,2236661,273.92999267578125,274.2749938964844,273.2200012207031,273.4801025390625,1730491,338.1499938964844,338.260009765625,336.92999267578125,337.69000244140625,373603
2026-04-20 14:15:00+00:00,676.8599853515625,678.5800170898438,675.6400146484375,676.0823974609375,455966,247.90989685058594,247.9600067138672,246.860107421875,247.1699981689453,1232529,96.00499725341797,96.01000213623047,95.5,95.52200317382812,2284499,273.5,274.239990234375,273.30999755859375,273.3800048828125,1347296,337.614990234375,337.9700012207031,336.72198486328125,337.6600036621094,391135
2026-04-20 14:30:00+00:00,676.0150146484375,676.7000122070312,672.6199951171875,673.4299926757812,474346,247.16000366210938,247.32000732421875,246.5200958251953,246.6300048828125,1146071,95.5250015258789,95.71759796142578,95.41999816894531,95.61499786376953,2088482,273.389892578125,273.8500061035156,272.5799865722656,272.6650085449219,1061696,337.6460876464844,337.739990234375,336.5799865722656,337.1549987792969,374988
2026-04-20 14:45:00+00:00,673.4000244140625,673.9149780273438,669.3800048828125,670.2100219726562,750595,246.6060028076172,246.93499755859375,245.5850067138672,245.7899932861328,1544748,95.61000061035156,95.63999938964844,94.88999938964844,94.8949966430664,2941834,272.6600036621094,273.1700134277344,272.0950012207031,272.3999938964844,1096100,337.1549987792969,337.6642150878906,336.42010498046875,336.6099853515625,462749
2026-04-20 15:00:00+00:00,670.25,671.1400146484375,668.0,671.1099243164062,526764,245.8000030517578,246.1199951171875,245.36500549316406,245.98500061035156,1234032,94.90969848632812,94.9800033569336,94.0999984741211,94.33999633789062,3965967,272.3699951171875,272.4750061035156,271.7200012207031,271.9700012207031,889823,336.6199951171875,336.7699890136719,334.6300048828125,335.18499755859375,517012
2026-04-20 15:15:00+00:00,671.0399780273438,673.7999877929688,670.364990234375,673.5700073242188,408656,245.99000549316406,247.11000061035156,245.78500366210938,247.02000427246094,1524124,94.33000183105469,94.3499984741211,93.6500015258789,93.875,3617962,271.9649963378906,272.9599914550781,271.7900085449219,272.8800048828125,1106932,335.2204895019531,337.010009765625,334.8800048828125,336.8800048828125,344523
